E.coli./09.fa.txt_orf00002 D.turgidum./08.fa.txt_orf01736
E.coli./09.fa.txt_orf00003 D.turgidum./08.fa.txt_orf01732
E.coli./09.fa.txt_orf00005 D.turgidum./08.fa.txt_orf01559_rev
E.coli./09.fa.txt_orf00007_rev D.turgidum./08.fa.txt_orf00349_rev
E.coli./09.fa.txt_orf00009_rev D.turgidum./08.fa.txt_orf00521
E.coli./09.fa.txt_orf00010_rev D.turgidum./08.fa.txt_orf00066
E.coli./09.fa.txt_orf00011 D.turgidum./08.fa.txt_orf00632
E.coli./09.fa.txt_orf00012 D.turgidum./08.fa.txt_orf00079_rev
E.coli./09.fa.txt_orf00013_rev D.turgidum./08.fa.txt_orf01958
E.coli./09.fa.txt_orf00016_rev D.turgidum./08.fa.txt_orf01916
E.coli./09.fa.txt_orf00017_rev D.turgidum./08.fa.txt_orf00546
E.coli./09.fa.txt_orf00018 D.turgidum./08.fa.txt_orf00022
E.coli./09.fa.txt_orf00020 D.turgidum./08.fa.txt_orf00023
E.coli./09.fa.txt_orf00021_rev D.turgidum./08.fa.txt_orf00227_rev
E.coli./09.fa.txt_orf00022 D.turgidum./08.fa.txt_orf02209
E.coli./09.fa.txt_orf00023 D.turgidum./08.fa.txt_orf00560
E.coli./09.fa.txt_orf00024 D.turgidum./08.fa.txt_orf01400
E.coli./09.fa.txt_orf00025_rev D.turgidum./08.fa.txt_orf01028
E.coli./09.fa.txt_orf00026_rev D.turgidum./08.fa.txt_orf01400
E.coli./09.fa.txt_orf00028_rev D.turgidum./08.fa.txt_orf00756_rev
E.coli./09.fa.txt_orf00029 D.turgidum./08.fa.txt_orf00700
E.coli./09.fa.txt_orf00030_rev D.turgidum./08.fa.txt_orf01401_rev
E.coli./09.fa.txt_orf00031 D.turgidum./08.fa.txt_orf01529
E.coli./09.fa.txt_orf00033 D.turgidum./08.fa.txt_orf01807
E.coli./09.fa.txt_orf00034 D.turgidum./08.fa.txt_orf01205
E.coli./09.fa.txt_orf00035 D.turgidum./08.fa.txt_orf02227_rev
E.coli./09.fa.txt_orf00037 D.turgidum./08.fa.txt_orf01462
E.coli./09.fa.txt_orf00039 D.turgidum./08.fa.txt_orf00108
E.coli./09.fa.txt_orf00041 D.turgidum./08.fa.txt_orf01448
E.coli./09.fa.txt_orf00043 D.turgidum./08.fa.txt_orf01908
E.coli./09.fa.txt_orf00044 D.turgidum./08.fa.txt_orf02242_rev
E.coli./09.fa.txt_orf00046 D.turgidum./08.fa.txt_orf02241_rev
E.coli./09.fa.txt_orf00048_rev D.turgidum./08.fa.txt_orf01643
E.coli./09.fa.txt_orf00049 D.turgidum./08.fa.txt_orf00421
E.coli./09.fa.txt_orf00050_rev D.turgidum./08.fa.txt_orf00052_rev
E.coli./09.fa.txt_orf00051_rev D.turgidum./08.fa.txt_orf01692_rev
E.coli./09.fa.txt_orf00052_rev D.turgidum./08.fa.txt_orf00916
E.coli./09.fa.txt_orf00053_rev D.turgidum./08.fa.txt_orf00072_rev
E.coli./09.fa.txt_orf00054_rev D.turgidum./08.fa.txt_orf01621
E.coli./09.fa.txt_orf00055_rev D.turgidum./08.fa.txt_orf02008_rev
E.coli./09.fa.txt_orf00056 D.turgidum./08.fa.txt_orf00935_rev
E.coli./09.fa.txt_orf00057 D.turgidum./08.fa.txt_orf01407
E.coli./09.fa.txt_orf00058 D.turgidum./08.fa.txt_orf01109_rev
E.coli./09.fa.txt_orf00059 D.turgidum./08.fa.txt_orf01172
E.coli./09.fa.txt_orf00061 D.turgidum./08.fa.txt_orf01237_rev
E.coli./09.fa.txt_orf00062 D.turgidum./08.fa.txt_orf01429
E.coli./09.fa.txt_orf00063 D.turgidum./08.fa.txt_orf00351_rev
E.coli./09.fa.txt_orf00064 D.turgidum./08.fa.txt_orf00475
E.coli./09.fa.txt_orf00065_rev D.turgidum./08.fa.txt_orf01377
E.coli./09.fa.txt_orf00066_rev D.turgidum./08.fa.txt_orf00097
