E.coli./09.fa.txt_orf00002 Synechocystis./18.fa.txt_orf01331_rev
E.coli./09.fa.txt_orf00003 Synechocystis./18.fa.txt_orf03800_rev
E.coli./09.fa.txt_orf00005 Synechocystis./18.fa.txt_orf05058
E.coli./09.fa.txt_orf00007_rev Synechocystis./18.fa.txt_orf01552
E.coli./09.fa.txt_orf00009_rev Synechocystis./18.fa.txt_orf04651
E.coli./09.fa.txt_orf00010_rev Synechocystis./18.fa.txt_orf00366
E.coli./09.fa.txt_orf00011 Synechocystis./18.fa.txt_orf03349_rev
E.coli./09.fa.txt_orf00012 Synechocystis./18.fa.txt_orf00504
E.coli./09.fa.txt_orf00013_rev Synechocystis./18.fa.txt_orf02473_rev
E.coli./09.fa.txt_orf00016_rev Synechocystis./18.fa.txt_orf03386
E.coli./09.fa.txt_orf00017_rev Synechocystis./18.fa.txt_orf04096_rev
E.coli./09.fa.txt_orf00018 Synechocystis./18.fa.txt_orf03883_rev
E.coli./09.fa.txt_orf00020 Synechocystis./18.fa.txt_orf04299
E.coli./09.fa.txt_orf00021_rev Synechocystis./18.fa.txt_orf01636
E.coli./09.fa.txt_orf00022 Synechocystis./18.fa.txt_orf03349_rev
E.coli./09.fa.txt_orf00023 Synechocystis./18.fa.txt_orf03769
E.coli./09.fa.txt_orf00024 Synechocystis./18.fa.txt_orf04260
E.coli./09.fa.txt_orf00025_rev Synechocystis./18.fa.txt_orf04802
E.coli./09.fa.txt_orf00026_rev Synechocystis./18.fa.txt_orf01033
E.coli./09.fa.txt_orf00028_rev Synechocystis./18.fa.txt_orf05146_rev
E.coli./09.fa.txt_orf00029 Synechocystis./18.fa.txt_orf05158_rev
E.coli./09.fa.txt_orf00030_rev Synechocystis./18.fa.txt_orf04067_rev
E.coli./09.fa.txt_orf00031 Synechocystis./18.fa.txt_orf04396_rev
E.coli./09.fa.txt_orf00033 Synechocystis./18.fa.txt_orf03845
E.coli./09.fa.txt_orf00034 Synechocystis./18.fa.txt_orf05273
E.coli./09.fa.txt_orf00035 Synechocystis./18.fa.txt_orf04467_rev
E.coli./09.fa.txt_orf00037 Synechocystis./18.fa.txt_orf01240_rev
E.coli./09.fa.txt_orf00039 Synechocystis./18.fa.txt_orf00830
E.coli./09.fa.txt_orf00041 Synechocystis./18.fa.txt_orf01514_rev
E.coli./09.fa.txt_orf00043 Synechocystis./18.fa.txt_orf03974_rev
